Day,Track,Figure,URL
1,Mac Miller – Best Day Ever,Anonymous,https://www.youtube.com/watch?v=AbV-Q6tz4B8
2,Sabrina Carpenter – Feather,Sabrina,https://www.youtube.com/watch?v=kLbn61Z4LDI
3,Rage Against the Machine – Killing in the Name,Anonymous,https://www.youtube.com/watch?v=bWXazVhlyxQ
4,Doechii – What It Is (Block Boy),Doechii,https://www.youtube.com/watch?v=phtcAd8j6Ro
5,"Greta Thunberg – Right Here, Right Now (Remix)",Greta,https://www.youtube.com/watch?v=FrEP4MHCKDc&list=PL2H7n7qLAdf7VTOrmFlY9G-PaE94VrHAY&index=5
6,Mac Miller – Dang! (feat. Anderson .Paak),Mac Miller,https://www.youtube.com/watch?v=LR3GQfryp9M
7,Sufjan Stevens et al. – Saturn (Planetarium),Janet Planet,https://www.youtube.com/watch?v=k92cL337BuM
8,Doechii – Crazy,Doechii,https://www.youtube.com/watch?v=0aQ9Q0hRTwY
9,Emma Stone – City of Stars (La La Land),Emma Stone,https://www.youtube.com/watch?v=cZAw8qxn0ZE
10,Eminem – Lose Yourself,Eminem,https://www.youtube.com/watch?v=eRhEcKHU5LY
11,AURORA – The Seed,Greta,https://www.youtube.com/watch?v=FrEP4MHCKDc&list=PL2H7n7qLAdf7VTOrmFlY9G-PaE94VrHAY&index=5
12,Chappell Roan – HOT TO GO!,Hot To Go,https://www.youtube.com/watch?v=xaPNR-_Cfn0
13,Mac Miller – Good News,Mac Miller,https://www.youtube.com/watch?v=aIHF7u9Wwiw
14,Brian Eno – An Ending (Ascent),Janet Planet,https://www.youtube.com/watch?v=OlaTeXX3uH8
15,Eminem – White America,Eminem,https://www.youtube.com/watch?v=RZIzD0ZfTFg
16,Sophie Ellis-Bextor – Murder on the Dancefloor,Hot To Go,https://www.youtube.com/watch?v=hAx6mYeC6pY
17,Billie Eilish – all the good girls go to hell,Greta,https://www.youtube.com/watch?v=FrEP4MHCKDc&list=PL2H7n7qLAdf7VTOrmFlY9G-PaE94VrHAY&index=5
18,Mac Miller – Blue World,Mac Miller,https://www.youtube.com/watch?v=_GC2wFTCAGY
19,Sabrina Carpenter – Nonsense,Sabrina,https://www.youtube.com/watch?v=YcSP1ZUf1eQ
20,Emma Stone – Audition (The Fools Who Dream),Emma Stone,https://www.youtube.com/watch?v=XCf_kdmmVNE
21,Max Richter – On the Nature of Daylight,Janet Planet,https://www.youtube.com/watch?v=InyT9Gyoz_o
22,Bella Ciao (Money Heist Cast),Anonymous,https://www.youtube.com/watch?v=46cXFUzR9XM
23,Doechii – Yucky Blucky Fruitcake,Doechii,https://www.youtube.com/watch?v=8qnOpJfFfpU
24,Hot To Go – Neon Swarm,Hot To Go,https://www.youtube.com/watch?v=eu0KsZ_MVBc
25,Mac Miller – Weekend (feat. Miguel),Mac Miller,https://www.youtube.com/watch?v=N29-54dhVHg
26,Lady Gaga – Always Remember Us This Way,Emma Stone,https://www.youtube.com/watch?v=5vheNbQlsyU
27,AURORA – Runaway,Greta,https://www.youtube.com/watch?v=FrEP4MHCKDc&list=PL2H7n7qLAdf7VTOrmFlY9G-PaE94VrHAY&index=5
28,Muse – Uprising,Anonymous,https://www.youtube.com/watch?v=w8KQmps-Sog
29,Dua Lipa – Don’t Start Now,Hot To Go,https://www.youtube.com/watch?v=oygrmJFKYZY
30,Eminem – The Way I Am,Eminem,https://www.youtube.com/watch?v=jsdI3JezUSs
31,Mac Miller – 2009,Mac Miller,https://www.youtube.com/watch?v=6B3YwcjQ_bU
32,Emma Stone – Pocketful of Sunshine (Easy A clip),Emma Stone,https://www.youtube.com/watch?v=ylvh800i85I
33,Sabrina Carpenter – Espresso,Sabrina,https://www.youtube.com/watch?v=eVli-tstM5E
34,The Avalanches – Since I Left You,Janet Planet,https://www.youtube.com/watch?v=wpqm-05R2Jk
35,Pete Seeger – Solidarity Forever,Anonymous,https://www.youtube.com/watch?v=R8eK9ZXf-Ow
36,Doechii – Spookie Coochie,Doechii,https://www.youtube.com/watch?v=dN0c88XN7eU
37,Mac Miller – Self Care,Mac Miller,https://www.youtube.com/watch?v=SsKT0s5J8ko
38,Daft Punk – One More Time,Hot To Go,https://www.youtube.com/watch?v=FGBhQbmPwH8
39,Hozier – Take Me to Church,Greta,https://www.youtube.com/watch?v=FrEP4MHCKDc&list=PL2H7n7qLAdf7VTOrmFlY9G-PaE94VrHAY&index=5
40,Eminem – Without Me,Eminem,https://www.youtube.com/watch?v=YVkUvmDQ3HY
41,Eva Cassidy – Over the Rainbow,Emma Stone,https://www.youtube.com/watch?v=YVkUvmDQ3HY
42,Pink Floyd – Brain Damage / Eclipse,All Pantheon,https://www.youtube.com/watch?v=1Z39KZAryzk
